Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 1336.0 NA 142 348 0 NA NA NA 509 702 0 NA NA NA 548 2480 561 NA NA NA 685 2225 913 NA NA
1560718800.0 1339.0 NA 149 367 0 NA NA NA 506 713 0 NA NA NA 535 2082 576 NA NA NA 552 2782 713 NA NA
1560718800.0 134.0 NA 315 38 0 NA NA NA 587 87 0 NA NA NA 3643 136 78 NA NA NA 2549 220 127 NA NA
1560718800.0 134.801 NA 35 328 0 NA NA NA 103 671 0 NA NA NA 219 4253 614 NA NA NA 546 2396 688 NA NA
1560718800.0 134.803 NA 31 343 0 NA NA NA 107 647 0 NA NA NA 248 6268 630 NA NA NA 415 2949 764 NA NA
1560718800.0 134.804 NA 34 350 0 NA NA NA 101 661 0 NA NA NA 292 6873 627 NA NA NA 559 3288 697 NA NA
1560718800.0 134.806 NA 31 344 0 NA NA NA 101 769 0 NA NA NA 250 7296 609 NA NA NA 358 3191 885 NA NA
1560718800.0 134.807 NA 91 362 0 NA NA NA 220 810 0 NA NA NA 1084 7595 755 NA NA NA 969 3632 952 NA NA
1560718800.0 134.808 NA 94 380 0 NA NA NA 213 714 0 NA NA NA 1141 7772 686 NA NA NA 1018 3544 1026 NA NA
1560718800.0 134.81 NA 34 351 0 NA NA NA 101 649 0 NA NA NA 263 6489 623 NA NA NA 589 3437 763 NA NA
1560718800.0 134.811 NA 30 349 0 NA NA NA 100 704 0 NA NA NA 244 6791 617 NA NA NA 601 3247 700 NA NA
1560718800.0 134.813 NA 144 55 0 NA NA NA 275 121 0 NA NA NA 1129 275 360 NA NA NA 2309 601 948 NA NA
1560718800.0 134.902 NA 38 338 0 NA NA NA 100 636 0 NA NA NA 295 5419 611 NA NA NA 773 3393 898 NA NA
1560718800.0 134.903 NA 31 329 0 NA NA NA 103 607 0 NA NA NA 254 5000 615 NA NA NA 679 3184 704 NA NA
1560718800.0 134.907 NA 90 361 0 NA NA NA 218 627 0 NA NA NA 863 5835 671 NA NA NA 1016 3586 776 NA NA
1560718800.0 134.99601 NA 34 352 0 NA NA NA 100 735 0 NA NA NA 276 7577 632 NA NA NA 414 3532 821 NA NA
1560718800.0 134.99603 NA 38 343 0 NA NA NA 107 689 0 NA NA NA 266 6243 625 NA NA NA 636 3002 806 NA NA
1560718800.0 135.1 312 0 131 NA NA NA 786 0 210 NA NA NA 1272 233 552 NA NA NA 1596 355 649 NA NA NA
1560718800.0 135.11 320 0 123 NA NA NA 853 0 220 NA NA NA 1926 349 868 NA NA NA 2576 896 2053 NA NA NA
