Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1560636000.0 4.57 NA 53 233 0 NA NA NA NA NA 92 310 0 NA NA NA NA NA 151 9579 548 NA NA NA NA NA 262 10474 601 NA NA NA NA
1560636000.0 4.58 NA 40 224 0 NA NA NA NA NA 88 290 0 NA NA NA NA NA 130 5328 593 NA NA NA NA NA 172 5931 672 NA NA NA NA
1560636000.0 4.63 NA 32 228 0 NA NA NA NA NA 78 303 0 NA NA NA NA NA 197 8554 585 NA NA NA NA NA 472 9406 663 NA NA NA NA
1560636000.0 4.64 NA 31 227 0 NA NA NA NA NA 78 303 0 NA NA NA NA NA 172 8640 531 NA NA NA NA NA 241 9717 600 NA NA NA NA
1560636000.0 4.67 NA 49 232 0 NA NA NA NA NA 94 314 0 NA NA NA NA NA 171 9350 545 NA NA NA NA NA 381 10443 715 NA NA NA NA
1560636000.0 4.72 NA 36 222 0 NA NA NA NA NA 77 293 0 NA NA NA NA NA 150 6548 588 NA NA NA NA NA 266 7419 638 NA NA NA NA
1560636000.0 4.73 NA 33 229 0 NA NA NA NA NA 80 303 0 NA NA NA NA NA 179 8152 526 NA NA NA NA NA 453 9084 585 NA NA NA NA
1560636000.0 4.75 NA 40 225 0 NA NA NA NA NA 79 301 0 NA NA NA NA NA 170 8340 555 NA NA NA NA NA 275 9121 630 NA NA NA NA
1560636000.0 4.78 NA 39 224 0 NA NA NA NA NA 87 293 0 NA NA NA NA NA 131 6218 519 NA NA NA NA NA 184 6959 566 NA NA NA NA
1560636000.0 500202.0 NA 117 245 0 NA NA NA NA NA 206 320 0 NA NA NA NA NA 4765 2553 597 NA NA NA NA NA 5591 2857 700 NA NA NA NA
1560636000.0 519.0 15 29 0 NA NA NA NA NA 132 65 0 NA NA NA NA NA 24 39 21 NA NA NA NA NA 9369 64 35 NA NA NA NA NA
1560636000.0 9.0 NA 81 197 0 NA NA NA NA NA 151 259 0 NA NA NA NA NA 2401 3061 636 NA NA NA NA NA 2572 3508 715 NA NA NA NA
