Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560636000.0 5.2 238 0 NA NA NA NA NA NA NA 742 0 NA NA NA NA NA NA NA 1448 251 NA NA NA NA NA NA NA 2892 350 NA NA NA NA NA NA NA
1560636000.0 5.4 284 0 NA NA NA NA NA NA NA 802 0 NA NA NA NA NA NA NA 1659 271 NA NA NA NA NA NA NA 1485 381 NA NA NA NA NA NA NA
1560636000.0 503.0 36 0 NA NA NA NA NA NA NA 84 0 NA NA NA NA NA NA NA 262 133 NA NA NA NA NA NA NA 488 245 NA NA NA NA NA NA NA
1560636000.0 504.0 35 0 NA NA NA NA NA NA NA 83 0 NA NA NA NA NA NA NA 187 156 NA NA NA NA NA NA NA 1100 862 NA NA NA NA NA NA NA
1560636000.0 505.0 31 0 NA NA NA NA NA NA NA 83 0 NA NA NA NA NA NA NA 180 128 NA NA NA NA NA NA NA 274 227 NA NA NA NA NA NA NA
1560636000.0 506.0 36 0 NA NA NA NA NA NA NA 86 0 NA NA NA NA NA NA NA 196 133 NA NA NA NA NA NA NA 463 225 NA NA NA NA NA NA NA
1560636000.0 507.0 33 0 NA NA NA NA NA NA NA 82 0 NA NA NA NA NA NA NA 202 117 NA NA NA NA NA NA NA 593 206 NA NA NA NA NA NA NA
1560636000.0 508.0 30 0 NA NA NA NA NA NA NA 82 0 NA NA NA NA NA NA NA 167 143 NA NA NA NA NA NA NA 518 953 NA NA NA NA NA NA NA
1560636000.0 509.0 32 0 NA NA NA NA NA NA NA 82 0 NA NA NA NA NA NA NA 183 136 NA NA NA NA NA NA NA 279 366 NA NA NA NA NA NA NA
1560636000.0 510.0 35 0 NA NA NA NA NA NA NA 85 0 NA NA NA NA NA NA NA 277 132 NA NA NA NA NA NA NA 730 213 NA NA NA NA NA NA NA
