Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560636000.0 521.0 14 38 0 NA 61 95 0 NA 602 230 137 NA 2111 429 653 NA
1560636000.0 522.0 15 32 0 NA 61 94 0 NA 2234 276 140 NA 32141 931 299 NA
1560636000.0 523.0 15 48 0 NA 61 102 0 NA 1049 254 155 NA 2361 461 289 NA
1560636000.0 524.0 13 39 0 NA 61 96 0 NA 931 235 144 NA 1942 918 322 NA
1560636000.0 525.0 13 34 0 NA 61 95 0 NA 617 227 145 NA 1354 353 244 NA
1560636000.0 526.0 15 37 0 NA 61 92 0 NA 2194 242 133 NA 39972 357 250 NA
1560636000.0 527.0 14 40 0 NA 61 96 0 NA 908 240 140 NA 1400 920 561 NA
1560636000.0 528.0 14 38 0 NA 61 95 0 NA 612 229 139 NA 2671 871 714 NA
1560636000.0 529.0 15 36 0 NA 61 94 0 NA 2280 215 130 NA 39561 390 240 NA
1560636000.0 530.0 13 39 0 NA 61 94 0 NA 980 213 129 NA 1749 627 449 NA
1560636000.0 531.0 63 0 NA NA 194 0 NA NA 195 125 NA NA 712 259 NA NA
1560636000.0 534.0 37 0 NA NA 102 0 NA NA 277 148 NA NA 1190 440 NA NA
1560636000.0 535.0 38 0 NA NA 92 0 NA NA 679 136 NA NA 1916 360 NA NA
1560636000.0 536.0 42 0 NA NA 107 0 NA NA 334 154 NA NA 748 262 NA NA
1560636000.0 541.0 43 0 NA NA 95 0 NA NA 184 234 NA NA 488 807 NA NA
1560636000.0 545.0 46 0 NA NA 95 0 NA NA 235 163 NA NA 1002 506 NA NA
1560636000.0 551.0 15 36 0 NA 61 89 0 NA 1054 268 162 NA 3742 477 318 NA
1560636000.0 552.0 13 32 0 NA 61 95 0 NA 929 233 135 NA 1552 710 737 NA
1560636000.0 554.0 13 38 0 NA 61 95 0 NA 1600 251 141 NA 2795 1086 623 NA
1560636000.0 555.0 15 33 0 NA 61 88 0 NA 1088 216 152 NA 3745 587 684 NA
1560636000.0 556.0 13 36 0 NA 61 97 0 NA 371 382 137 NA 1611 980 508 NA
1560636000.0 560.0 37 0 NA NA 88 0 NA NA 191 126 NA NA 542 238 NA NA
1560636000.0 561.0 37 0 NA NA 84 0 NA NA 174 130 NA NA 331 272 NA NA
1560636000.0 562.0 13 39 0 NA 61 93 0 NA 364 199 136 NA 1699 508 253 NA
1560636000.0 9.0 NA 135 321 0 NA 511 702 0 NA 2560 4337 1014 NA 1505 2809 1213
