Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 512.0 19 41 0 NA NA NA NA 68 92 0 NA NA NA NA 3184 204 157 NA NA NA NA 38931 599 431 NA NA NA NA
1560636000.0 513.0 19 45 0 NA NA NA NA 68 93 0 NA NA NA NA 852 201 166 NA NA NA NA 6900 611 543 NA NA NA NA
1560636000.0 514.0 19 39 0 NA NA NA NA 68 93 0 NA NA NA NA 414 222 162 NA NA NA NA 1965 644 332 NA NA NA NA
1560636000.0 515.0 19 35 0 NA NA NA NA 69 91 0 NA NA NA NA 3171 208 164 NA NA NA NA 38071 816 492 NA NA NA NA
1560636000.0 516.0 19 39 0 NA NA NA NA 68 93 0 NA NA NA NA 636 196 178 NA NA NA NA 3211 860 974 NA NA NA NA
1560636000.0 517.0 19 39 0 NA NA NA NA 64 93 0 NA NA NA NA 941 222 168 NA NA NA NA 1708 628 383 NA NA NA NA
1560636000.0 518.0 19 38 0 NA NA NA NA 68 91 0 NA NA NA NA 3162 255 166 NA NA NA NA 38896 1094 454 NA NA NA NA
1560636000.0 519.0 22 46 0 NA NA NA NA 68 92 0 NA NA NA NA 618 236 133 NA NA NA NA 1942 829 431 NA NA NA NA
1560636000.0 520.0 19 46 0 NA NA NA NA 68 98 0 NA NA NA NA 940 217 166 NA NA NA NA 1353 723 487 NA NA NA NA
1560636000.0 521.0 21 42 0 NA NA NA NA 68 93 0 NA NA NA NA 604 160 148 NA NA NA NA 1902 453 544 NA NA NA NA
