Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560805200.0 1304.181 57 167 191 143 NA NA NA 105 218 237 183 NA NA NA 11104 6459 3716 2713 NA NA NA 13312 6623 3920 2854 NA NA NA
1560805200.0 1306.0 NA 95 295 0 NA NA NA NA 174 349 0 NA NA NA NA 1763 7453 2656 NA NA NA NA 3098 7889 2768 NA NA NA
1560805200.0 1307.0 NA 108 167 48 0 NA NA NA 169 188 81 0 NA NA NA 565 801 185 373 NA NA NA 669 858 207 406 NA NA
1560805200.0 1308.0 NA 97 150 54 0 NA NA NA 168 184 81 0 NA NA NA 551 664 192 399 NA NA NA 626 721 208 422 NA NA
1560805200.0 1309.0 NA 102 300 0 NA NA NA NA 177 357 0 NA NA NA NA 2126 7668 2702 NA NA NA NA 3240 7917 2792 NA NA NA
1560805200.0 131.0 54 86 262 NA NA NA NA 101 123 314 NA NA NA NA 4388 1647 6865 NA NA NA NA 6058 2251 7137 NA NA NA NA
1560805200.0 1310.0 NA 98 302 0 NA NA NA NA 177 358 0 NA NA NA NA 2082 7502 2692 NA NA NA NA 2841 7698 2786 NA NA NA
1560805200.0 1311.0 NA 107 285 0 67 NA NA NA 175 335 0 104 NA NA NA 604 1656 981 288 NA NA NA 679 1782 1004 466 NA NA
1560805200.0 1312.0 NA 102 304 0 NA NA NA NA 176 359 0 NA NA NA NA 2122 7987 2710 NA NA NA NA 2961 8236 2777 NA NA NA
1560805200.0 1313.0 NA 101 308 0 NA NA NA NA 179 363 0 NA NA NA NA 1799 9101 2694 NA NA NA NA 2608 9392 2776 NA NA NA
1560805200.0 1314.0 NA 99 304 0 NA NA NA NA 176 358 0 NA NA NA NA 2045 7657 2664 NA NA NA NA 3061 7904 2739 NA NA NA
1560805200.0 1315.0 NA 95 296 0 NA NA NA NA 172 352 0 NA NA NA NA 1730 7290 2661 NA NA NA NA 2790 7501 2735 NA NA NA
1560805200.0 1316.0 NA 100 299 0 NA NA NA NA 172 351 0 NA NA NA NA 1752 7466 2673 NA NA NA NA 2877 7797 2767 NA NA NA
1560805200.0 1317.0 NA 94 296 0 NA NA NA NA 172 352 0 NA NA NA NA 1742 7232 2658 NA NA NA NA 2720 7484 2807 NA NA NA
1560805200.0 1318.0 NA 98 301 0 NA NA NA NA 172 352 0 NA NA NA NA 1752 7261 2673 NA NA NA NA 3021 7553 2935 NA NA NA
1560805200.0 1319.0 NA 92 298 0 NA NA NA NA 172 351 0 NA NA NA NA 1726 7402 2668 NA NA NA NA 2745 7750 2761 NA NA NA
1560805200.0 132.0 62 90 265 NA NA NA NA 117 125 318 NA NA NA NA 12864 1804 7270 NA NA NA NA 15403 1962 7488 NA NA NA NA
1560805200.0 1320.0 NA 93 298 0 NA NA NA NA 174 352 0 NA NA NA NA 1802 7478 2669 NA NA NA NA 2942 7768 2743 NA NA NA
1560805200.0 1321.0 NA 98 293 0 NA NA NA NA 174 352 0 NA NA NA NA 1880 7987 2667 NA NA NA NA 2960 9187 2737 NA NA NA
1560805200.0 1322.0 NA 98 303 0 NA NA NA NA 174 355 0 NA NA NA NA 1884 7577 2668 NA NA NA NA 2792 7815 2777 NA NA NA
1560805200.0 1323.0 NA 98 290 0 NA NA NA NA 172 345 0 NA NA NA NA 1727 6987 2598 NA NA NA NA 2533 7218 2671 NA NA NA
1560805200.0 1324.0 NA 100 305 0 NA NA NA NA 177 360 0 NA NA NA NA 2131 7911 2672 NA NA NA NA 3453 8125 2764 NA NA NA
1560805200.0 1325.1 NA 102 154 0 NA NA NA NA 177 192 0 NA NA NA NA 734 957 461 NA NA NA NA 806 1049 477 NA NA NA
1560805200.0 1325.2 NA 102 303 0 NA NA NA NA 177 355 0 NA NA NA NA 2147 7848 2665 NA NA NA NA 3306 8059 2731 NA NA NA
