Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 133.0 64 88 271 NA NA NA 121 125 321 NA NA NA 6961 1099 3179 NA NA NA 8053 1293 3314 NA NA NA
1560718800.0 1332.0 NA 98 302 0 NA NA NA 177 358 0 NA NA NA 1382 3563 1018 NA NA NA 2019 3726 1064 NA NA
1560718800.0 1333.0 NA 94 293 0 NA NA NA 176 353 0 NA NA NA 1265 3362 1263 NA NA NA 2195 3575 1315 NA NA
1560718800.0 1334.0 NA 95 298 0 NA NA NA 176 358 0 NA NA NA 1241 3576 1048 NA NA NA 1777 3744 1098 NA NA
1560718800.0 134.703 NA 36 289 0 NA NA NA 113 343 0 NA NA NA 670 14021 1271 NA NA NA 1123 14245 1320 NA NA
1560718800.0 134.705 NA 34 285 0 NA NA NA 111 342 0 NA NA NA 671 12391 1351 NA NA NA 1007 12566 1388 NA NA
1560718800.0 134.807 NA 121 306 0 NA NA NA 196 360 0 NA NA NA 3938 14841 1435 NA NA NA 4332 15041 1490 NA NA
1560718800.0 134.813 NA 139 69 0 NA NA NA 219 101 0 NA NA NA 2476 531 607 NA NA NA 2651 585 710 NA NA
1560718800.0 134.901 NA 34 276 0 NA NA NA 110 330 0 NA NA NA 628 9238 1226 NA NA NA 1087 9422 1271 NA NA
1560718800.0 134.905 NA 33 275 0 NA NA NA 112 331 0 NA NA NA 719 14414 1252 NA NA NA 1125 15107 1300 NA NA
1560718800.0 1349.0 NA 96 300 0 NA NA NA 175 354 0 NA NA NA 1302 3468 1442 NA NA NA 2218 3713 1498 NA NA
1560718800.0 135.11 248 0 123 NA NA NA 307 0 163 NA NA NA 2395 548 1227 NA NA NA 2541 591 1317 NA NA NA
1560718800.0 1352.0 NA 95 296 0 NA NA NA 176 354 0 NA NA NA 1295 3700 1169 NA NA NA 1456 3919 1217 NA NA
1560718800.0 1353.0 NA 100 304 0 NA NA NA 177 359 0 NA NA NA 1313 3735 1033 NA NA NA 1670 3901 1074 NA NA
1560718800.0 136.724 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
